"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TMBIM1",4.15181790596219e-63,0.836435033193565,0.431,0.156,1.34340371983218e-58
"RPS28",4.71667284088432e-63,-1.13274918990549,0.356,0.49,1.52617383112494e-58
"DNAJC15",1.01941951731827e-62,1.34740844399462,0.259,0.062,3.29853573218674e-58
"CD47",1.29271875980597e-62,0.830680094287674,0.435,0.159,4.18285009110416e-58
"GLUL",2.0676638211167e-62,0.870006999910065,0.405,0.144,6.6903398259873e-58
"SEPT11",2.63313134809857e-62,1.05570116164738,0.329,0.101,8.52002310304253e-58
"TMEM140",3.54555240934593e-62,0.797242343382802,0.556,0.24,1.14723439309206e-57
"SPNS1",5.0510626626517e-61,0.745255433632354,0.497,0.198,1.63437234575421e-56
"DNM3",5.42425968204483e-61,0.895762624443411,0.38,0.131,1.75512770531925e-56
"TM2D2",2.67408528313563e-60,1.22276448280795,0.273,0.073,8.65253775064195e-56
"TBXA2R",2.73984233434612e-60,1.16499934919435,0.285,0.079,8.86530784124373e-56
"RPS4X",4.46476425185369e-60,-1.06501889289238,0.397,0.507,1.4446637689723e-55
"RAB10",8.93054020860666e-60,0.849745171301225,0.406,0.148,2.88965489529886e-55
"UBAC2",9.80240221040609e-60,0.770755949751011,0.479,0.19,3.1717632832211e-55
"TOP1",1.10302336630655e-59,1.19504830618181,0.273,0.074,3.56905270635812e-55
"ERV3-1",3.6626724565926e-59,0.980915670760835,0.377,0.136,1.18513092677967e-54
"LCN2",3.95423730196778e-59,0.966517869901808,0.369,0.131,1.27947256379772e-54
"SRGN",7.48108951478188e-59,-0.363144867591958,0.775,0.718,2.42065613429797e-54
"STX11",1.28038414850709e-58,0.905077205980644,0.355,0.119,4.14293898932438e-54
"CST3",1.45090795758295e-58,-0.564495232072727,0.68,0.661,4.69470287835116e-54
"CENPT",6.88182197063997e-58,0.971446966364337,0.319,0.1,2.22675113503998e-53
"IGF2BP3",1.56703950355967e-57,0.945700135089939,0.334,0.11,5.07046972166801e-53
"GMFG",2.15890388273691e-57,0.744658421915215,0.487,0.201,6.98556529337181e-53
"SMOX",8.94027164503683e-57,0.690202400386267,0.555,0.243,2.89280369618457e-52
"BTK",1.20837746074296e-56,1.04242144109244,0.298,0.09,3.90994694972598e-52
"GLA",1.342982996998e-56,1.11459127713386,0.285,0.084,4.34549008338644e-52
"ABI1",1.51052879032328e-56,1.27958901554465,0.251,0.066,4.88761800684904e-52
"SLBP",1.71154330764061e-56,1.10751877762128,0.27,0.075,5.53804068053273e-52
"GAPDH",2.54377415100787e-56,-0.289790284895369,0.846,0.751,8.23089002041618e-52
"TMEM40",5.80837130687618e-56,0.650595566332214,0.86,0.466,1.87941470376593e-51
"TAL1",7.23047782057223e-56,0.749872422864351,0.423,0.163,2.33956570840256e-51
"RAP1A",8.6382045288617e-56,0.978463138459338,0.33,0.111,2.79506383940378e-51
"RYBP",1.73902008563076e-55,1.03208053924917,0.312,0.102,5.62694729107545e-51
"GCLM",2.56402259250566e-55,1.0536918200935,0.29,0.088,8.29640790257055e-51
"ACP1",2.67155317744572e-55,0.832863547520025,0.386,0.145,8.64434461626113e-51
"ERBIN",2.68145913282633e-55,1.04582910309653,0.29,0.088,8.67639731608614e-51
"RBBP6",4.96644539576516e-55,0.665141808259634,0.632,0.293,1.60699273670773e-50
"ENKUR",6.85670071462452e-55,0.689915386927954,0.551,0.247,2.21862265023106e-50
"CARD19",7.48012259456778e-55,0.650654486895798,0.648,0.302,2.4203432679243e-50
"CLDN5",1.02171867417592e-54,0.680787928064376,0.63,0.292,3.30597511403101e-50
"LMNA",1.57251792217223e-54,0.679043414961755,0.585,0.26,5.08819624077269e-50
"RPS29",3.16089974986431e-54,-1.2074033160139,0.324,0.445,1.02277233206359e-49
"RPL37",3.83726041008977e-54,-1.13980684531062,0.344,0.461,1.24162235089275e-49
"PLEKHO1",1.22867617055774e-53,0.655448115304262,0.77,0.395,3.97562748507369e-49
"STOM",1.33130129534065e-53,0.648765910312183,0.612,0.279,4.30769160133375e-49
"INF2",1.75328979741792e-53,0.969208623550082,0.29,0.09,5.67311979750517e-49
"CFLAR",1.94120582987245e-53,1.01356085962666,0.291,0.092,6.2811597037183e-49
"RAB11A",2.02644408738133e-53,0.651431202897527,0.676,0.326,6.55696513353976e-49
"STK24",2.60659560514266e-53,0.754764906419258,0.408,0.159,8.43416139956011e-49
"PTTG1IP",6.1201126305527e-53,0.746337721653128,0.409,0.16,1.98028484386794e-48
"MKRN1",6.50496724783368e-53,0.647000296915205,0.48,0.197,2.10481225238154e-48
"H2AFJ",8.60945610284778e-53,0.65112428497934,0.629,0.301,2.78576171119846e-48
"CERS2",9.45012896514658e-53,0.719414479414999,0.404,0.155,3.05777822925248e-48
