"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.43651569515627e-120,2.14752362618331,0.332,0.048,2.08266338348172e-115,"6","KRCC1"
7.50020356737702e-120,1.40838899413778,0.456,0.086,2.42684086829618e-115,"6","COPS6"
8.86156927200814e-120,1.88628957982256,0.385,0.063,2.86733796934367e-115,"6","MAPKAPK3"
9.53788150545443e-120,1.74611347112184,0.42,0.074,3.08617231871989e-115,"6","HSD17B4"
9.79409700026429e-120,2.35671901363742,0.379,0.062,3.16907596637552e-115,"6","TMA16"
9.88515572625246e-120,1.98969829380165,0.379,0.061,3.19853983834351e-115,"6","SPG21"
1.05650824681401e-119,1.58115487240891,0.382,0.062,3.41854373421611e-115,"6","SDF4"
1.1117637242619e-119,1.20873982701595,0.453,0.083,3.59733388259423e-115,"6","SETX"
1.13555828941204e-119,1.77600896523528,0.376,0.06,3.67432595705054e-115,"6","PSMB10"
1.20985510697975e-119,0.622102234324007,0.736,0.184,3.91472816965437e-115,"6","LAMTOR4"
1.2396678590848e-119,2.77181331177104,0.299,0.039,4.0111932916407e-115,"6","FAM207A"
1.25621505257665e-119,2.54037008868872,0.338,0.05,4.06473504562227e-115,"6","ZNF277"
1.51127966869394e-119,1.93586254902941,0.354,0.054,4.89004762399298e-115,"6","BRD1"
1.66968532172728e-119,1.49265836199217,0.396,0.065,5.40260079551297e-115,"6","NUDT3"
1.80991337050285e-119,0.635349777691907,0.61,0.137,5.85633669293607e-115,"6","LAMTOR5"
1.89661575541276e-119,0.877860799819142,0.563,0.123,6.13687959978905e-115,"6","FAM96B"
1.98612526014156e-119,2.46422255692756,0.308,0.041,6.42650550424005e-115,"6","SAMD1"
2.16322314064293e-119,1.91368631888225,0.409,0.071,6.99954111617834e-115,"6","NIPSNAP2"
2.42468576475884e-119,1.75436095127448,0.365,0.057,7.84555572903016e-115,"6","SMC1A"
2.80097843947452e-119,1.65748656522369,0.341,0.049,9.06312593660769e-115,"6","DPYSL2"
3.56907221749686e-119,1.55482045316609,0.371,0.058,1.15484469741546e-114,"6","EP300"
3.89375403868701e-119,1.7583219045808,0.434,0.08,1.25990199429796e-114,"6","PSMC6"
3.91692119422475e-119,0.467598102225956,0.695,0.167,1.2673981908153e-114,"6","EIF5"
4.95412474961177e-119,2.32316519794261,0.36,0.057,1.60300614523188e-114,"6","TMEM205"
5.46878328635157e-119,1.50083311433134,0.495,0.099,1.76953420796478e-114,"6","PTRHD1"
1.18870668465221e-118,1.4117610666148,0.434,0.077,3.84629821952915e-114,"6","ARID1A"
1.35375497573663e-118,2.31827449785162,0.338,0.05,4.38034497499102e-114,"6","REV3L"
1.35397407692629e-118,1.6050314210677,0.431,0.079,4.3810539207104e-114,"6","C12orf10"
